Timepoint,Medium,%_NCIB3610,%_NRS5645,Dilution,Heat_treatment,Count_Tot,Count_NCIB3610,Count_NRS5645
24,MSbg,100,0,0.0000001,0,20,20,0
24,MSbg,100,0,0.0000001,0,26,26,0
24,MSbg,100,0,0.0000001,0,16,16,0
24,MSbg,75,25,0.0000001,0,17,12,5
24,MSbg,75,25,0.0000001,0,31,28,3
24,MSbg,75,25,0.0000001,0,42,30,12
24,MSbg,50,50,0.000001,0,274,152,122
24,MSbg,50,50,0.000001,0,134,62,72
24,MSbg,50,50,0.0000001,0,47,28,19
24,MSbg,25,75,0.0000001,0,38,5,33
24,MSbg,25,75,0.0000001,0,36,9,27
24,MSbg,25,75,0.0000001,0,60,12,48
24,MSbg,0,100,0.000001,0,119,0,119
24,MSbg,0,100,0.000001,0,134,0,134
24,MSbg,0,100,0.000001,0,128,0,128
