Strain ,Media,BSA_concentration,Timepoint,Replicate,OD600
NCIB3610,MSbg,0,24,1,0.01
NCIB3610,MSbg,0,24,2,0.01
NCIB3610,MSbg,0,24,3,0.01
NCIB3610,MSbg,0,48,1,0.01
NCIB3610,MSbg,0,48,2,0.01
NCIB3610,MSbg,0,48,3,0.01
NCIB3610,MSbg,0,72,1,0.01
NCIB3610,MSbg,0,72,2,0.02
NCIB3610,MSbg,0,72,3,0.01
NCIB3610,MSbg,0,96,1,0.01
NCIB3610,MSbg,0,96,2,0.01
NCIB3610,MSbg,0,96,3,0.01
NCIB3610,MSbg,0.05,24,1,0.03
NCIB3610,MSbg,0.05,24,2,0.05
NCIB3610,MSbg,0.05,24,3,0.05
NCIB3610,MSbg,0.05,48,1,0.11
NCIB3610,MSbg,0.05,48,2,0.14
NCIB3610,MSbg,0.05,48,3,0.12
NCIB3610,MSbg,0.05,72,1,0.16
NCIB3610,MSbg,0.05,72,2,0.22
NCIB3610,MSbg,0.05,72,3,0.27
NCIB3610,MSbg,0.05,96,1,0.76
NCIB3610,MSbg,0.05,96,2,0.82
NCIB3610,MSbg,0.05,96,3,1.12
NCIB3610,MSbg,0.1,24,1,0.05
NCIB3610,MSbg,0.1,24,2,0.05
NCIB3610,MSbg,0.1,24,3,0.05
NCIB3610,MSbg,0.1,48,1,0.19
NCIB3610,MSbg,0.1,48,2,0.2
NCIB3610,MSbg,0.1,48,3,0.19
NCIB3610,MSbg,0.1,72,1,0.59
NCIB3610,MSbg,0.1,72,2,0.41
NCIB3610,MSbg,0.1,72,3,0.54
NCIB3610,MSbg,0.1,96,1,1.08
NCIB3610,MSbg,0.1,96,2,1.11
NCIB3610,MSbg,0.1,96,3,1.29
NCIB3610,MSbg,0.15,24,1,0.06
NCIB3610,MSbg,0.15,24,2,0.05
NCIB3610,MSbg,0.15,24,3,0.07
NCIB3610,MSbg,0.15,48,1,0.24
NCIB3610,MSbg,0.15,48,2,0.22
NCIB3610,MSbg,0.15,48,3,0.27
NCIB3610,MSbg,0.15,72,1,0.81
NCIB3610,MSbg,0.15,72,2,0.73
NCIB3610,MSbg,0.15,72,3,0.6
NCIB3610,MSbg,0.15,96,1,1.25
NCIB3610,MSbg,0.15,96,2,1.19
NCIB3610,MSbg,0.15,96,3,1.2
NCIB3610,MSbg,0.2,24,1,0.03
NCIB3610,MSbg,0.2,24,2,0.05
NCIB3610,MSbg,0.2,24,3,0.03
NCIB3610,MSbg,0.2,48,1,0.18
NCIB3610,MSbg,0.2,48,2,0.19
NCIB3610,MSbg,0.2,48,3,0.2
NCIB3610,MSbg,0.2,72,1,0.77
NCIB3610,MSbg,0.2,72,2,0.68
NCIB3610,MSbg,0.2,72,3,0.84
NCIB3610,MSbg,0.2,96,1,1.74
NCIB3610,MSbg,0.2,96,2,1.76
NCIB3610,MSbg,0.2,96,3,1.87
NCIB3610,MSbg,0.25,24,1,0.07
NCIB3610,MSbg,0.25,24,2,0.03
NCIB3610,MSbg,0.25,24,3,0.07
NCIB3610,MSbg,0.25,48,1,0.22
NCIB3610,MSbg,0.25,48,2,0.2
NCIB3610,MSbg,0.25,48,3,0.23
NCIB3610,MSbg,0.25,72,1,0.99
NCIB3610,MSbg,0.25,72,2,1.04
NCIB3610,MSbg,0.25,72,3,1.03
NCIB3610,MSbg,0.25,96,1,2.13
NCIB3610,MSbg,0.25,96,2,2.29
NCIB3610,MSbg,0.25,96,3,2.25
NCIB3610,MSbg,0.5,24,1,0.06
NCIB3610,MSbg,0.5,24,2,0.07
NCIB3610,MSbg,0.5,24,3,0.07
NCIB3610,MSbg,0.5,48,1,0.25
NCIB3610,MSbg,0.5,48,2,0.24
NCIB3610,MSbg,0.5,48,3,0.22
NCIB3610,MSbg,0.5,72,1,1.56
NCIB3610,MSbg,0.5,72,2,1.64
NCIB3610,MSbg,0.5,72,3,1.51
NCIB3610,MSbg,0.5,96,1,2.38
NCIB3610,MSbg,0.5,96,2,2.33
NCIB3610,MSbg,0.5,96,3,2.47
NCIB3610,MSbg,0.75,24,1,0.09
NCIB3610,MSbg,0.75,24,2,0.11
NCIB3610,MSbg,0.75,24,3,0.07
NCIB3610,MSbg,0.75,48,1,0.37
NCIB3610,MSbg,0.75,48,2,0.33
NCIB3610,MSbg,0.75,48,3,0.4
NCIB3610,MSbg,0.75,72,1,1.86
NCIB3610,MSbg,0.75,72,2,1.88
NCIB3610,MSbg,0.75,72,3,2.03
NCIB3610,MSbg,0.75,96,1,2.69
NCIB3610,MSbg,0.75,96,2,2.47
NCIB3610,MSbg,0.75,96,3,2.46
NCIB3610,MSbg,1,24,1,0.15
NCIB3610,MSbg,1,24,2,0.16
NCIB3610,MSbg,1,24,3,0.1
NCIB3610,MSbg,1,48,1,0.5
NCIB3610,MSbg,1,48,2,0.56
NCIB3610,MSbg,1,48,3,0.44
NCIB3610,MSbg,1,72,1,2.17
NCIB3610,MSbg,1,72,2,1.73
NCIB3610,MSbg,1,72,3,1.68
NCIB3610,MSbg,1,96,1,3.71
NCIB3610,MSbg,1,96,2,3.65
NCIB3610,MSbg,1,96,3,3.71
NCIB3610,MSbg,2,24,1,0.16
NCIB3610,MSbg,2,24,2,0.2
NCIB3610,MSbg,2,24,3,0.19
NCIB3610,MSbg,2,48,1,1.1
NCIB3610,MSbg,2,48,2,1.06
NCIB3610,MSbg,2,48,3,1.08
NCIB3610,MSbg,2,72,1,2.32
NCIB3610,MSbg,2,72,2,2.08
NCIB3610,MSbg,2,72,3,1.96
NCIB3610,MSbg,2,96,1,4.27
NCIB3610,MSbg,2,96,2,4.18
NCIB3610,MSbg,2,96,3,4.06
