Strain,Medium,Time,OD600
NCIB3610,MSbg,1,0.014
NCIB3610,MSbg,1,0.015
NCIB3610,MSbg,1,0.016
NCIB3610,MSbg,1,0.018
NCIB3610,MSbg,1,0.021
NCIB3610,MSbg,2,0.02
NCIB3610,MSbg,2,0.021
NCIB3610,MSbg,2,0.021
NCIB3610,MSbg,2,0.023
NCIB3610,MSbg,2,0.026
NCIB3610,MSbg,3,0.022
NCIB3610,MSbg,3,0.024
NCIB3610,MSbg,3,0.024
NCIB3610,MSbg,3,0.025
NCIB3610,MSbg,3,0.028
NCIB3610,MSbg,4,0.024
NCIB3610,MSbg,4,0.025
NCIB3610,MSbg,4,0.026
NCIB3610,MSbg,4,0.027
NCIB3610,MSbg,4,0.033
NCIB3610,MSbg,5,0.032
NCIB3610,MSbg,5,0.034
NCIB3610,MSbg,5,0.034
NCIB3610,MSbg,5,0.037
NCIB3610,MSbg,5,0.035
NCIB3610,MSbg,6,0.032
NCIB3610,MSbg,6,0.035
NCIB3610,MSbg,6,0.035
NCIB3610,MSbg,6,0.044
NCIB3610,MSbg,6,0.038
NCIB3610,MSbg,7,0.039
NCIB3610,MSbg,7,0.042
NCIB3610,MSbg,7,0.04
NCIB3610,MSbg,7,0.043
NCIB3610,MSbg,7,0.04
NCIB3610,MSbg,8,0.045
NCIB3610,MSbg,8,0.053
NCIB3610,MSbg,8,0.047
NCIB3610,MSbg,8,0.046
NCIB3610,MSbg,8,0.038
NCIB3610,MSbg,9,0.051
NCIB3610,MSbg,9,0.056
NCIB3610,MSbg,9,0.054
NCIB3610,MSbg,9,0.059
NCIB3610,MSbg,9,0.054
NCIB3610,MSbg,10,0.062
NCIB3610,MSbg,10,0.067
NCIB3610,MSbg,10,0.065
NCIB3610,MSbg,10,0.065
NCIB3610,MSbg,10,0.067
NCIB3610,MSbg,11,0.077
NCIB3610,MSbg,11,0.07
NCIB3610,MSbg,11,0.075
NCIB3610,MSbg,11,0.098
NCIB3610,MSbg,11,0.1
NCIB3610,MSbg,12,0.083
NCIB3610,MSbg,12,0.075
NCIB3610,MSbg,12,0.084
NCIB3610,MSbg,12,0.118
NCIB3610,MSbg,12,0.11
NCIB3610,MSbg,13,0.086
NCIB3610,MSbg,13,0.079
NCIB3610,MSbg,13,0.089
NCIB3610,MSbg,13,0.127
NCIB3610,MSbg,13,0.116
NCIB3610,MSbg,14,0.092
NCIB3610,MSbg,14,0.083
NCIB3610,MSbg,14,0.103
NCIB3610,MSbg,14,0.134
NCIB3610,MSbg,14,0.122
NCIB3610,MSbg,15,0.1
NCIB3610,MSbg,15,0.09
NCIB3610,MSbg,15,0.11
NCIB3610,MSbg,15,0.15
NCIB3610,MSbg,15,0.14
NCIB3610,MSbg,16,0.13
NCIB3610,MSbg,16,0.12
NCIB3610,MSbg,16,0.14
NCIB3610,MSbg,16,0.17
NCIB3610,MSbg,16,0.15
NCIB3610,MSbg,17,0.13
NCIB3610,MSbg,17,0.14
NCIB3610,MSbg,17,0.16
NCIB3610,MSbg,17,0.2
NCIB3610,MSbg,17,0.17
NCIB3610,MSbg,18,0.18
NCIB3610,MSbg,18,0.19
NCIB3610,MSbg,18,0.21
NCIB3610,MSbg,18,0.21
NCIB3610,MSbg,18,0.22
NCIB3610,MSbg,19,0.21
NCIB3610,MSbg,19,0.2
NCIB3610,MSbg,19,0.22
NCIB3610,MSbg,19,0.28
NCIB3610,MSbg,19,0.29
NCIB3610,MSbg,20,0.21
NCIB3610,MSbg,20,0.25
NCIB3610,MSbg,20,0.27
NCIB3610,MSbg,20,0.33
NCIB3610,MSbg,20,0.36
NCIB3610,MSbg,21,0.22
NCIB3610,MSbg,21,0.28
NCIB3610,MSbg,21,0.32
NCIB3610,MSbg,21,0.37
NCIB3610,MSbg,21,0.41
NCIB3610,MSbg,22,0.29
NCIB3610,MSbg,22,0.27
NCIB3610,MSbg,22,0.33
NCIB3610,MSbg,22,0.38
NCIB3610,MSbg,22,0.4
NCIB3610,MSbg,23,0.33
NCIB3610,MSbg,23,0.3
NCIB3610,MSbg,23,0.35
NCIB3610,MSbg,23,0.4
NCIB3610,MSbg,23,0.41
NCIB3610,MSbg,24,0.33
NCIB3610,MSbg,24,0.36
NCIB3610,MSbg,24,0.41
NCIB3610,MSbg,24,0.45
NCIB3610,MSbg,24,0.48
NRS5645,MSbg,1,0.013
NRS5645,MSbg,1,0.015
NRS5645,MSbg,1,0.015
NRS5645,MSbg,1,0.026
NRS5645,MSbg,1,0.021
NRS5645,MSbg,2,0.015
NRS5645,MSbg,2,0.017
NRS5645,MSbg,2,0.024
NRS5645,MSbg,2,0.03
NRS5645,MSbg,2,0.025
NRS5645,MSbg,3,0.016
NRS5645,MSbg,3,0.018
NRS5645,MSbg,3,0.018
NRS5645,MSbg,3,0.034
NRS5645,MSbg,3,0.029
NRS5645,MSbg,4,0.017
NRS5645,MSbg,4,0.019
NRS5645,MSbg,4,0.019
NRS5645,MSbg,4,0.035
NRS5645,MSbg,4,0.032
NRS5645,MSbg,5,0.03
NRS5645,MSbg,5,0.02
NRS5645,MSbg,5,0.021
NRS5645,MSbg,5,0.04
NRS5645,MSbg,5,0.038
NRS5645,MSbg,6,0.018
NRS5645,MSbg,6,0.018
NRS5645,MSbg,6,0.02
NRS5645,MSbg,6,0.039
NRS5645,MSbg,6,0.036
NRS5645,MSbg,7,0.018
NRS5645,MSbg,7,0.019
NRS5645,MSbg,7,0.021
NRS5645,MSbg,7,0.031
NRS5645,MSbg,7,0.038
NRS5645,MSbg,8,0.02
NRS5645,MSbg,8,0.024
NRS5645,MSbg,8,0.025
NRS5645,MSbg,8,0.035
NRS5645,MSbg,8,0.042
NRS5645,MSbg,9,0.022
NRS5645,MSbg,9,0.028
NRS5645,MSbg,9,0.022
NRS5645,MSbg,9,0.038
NRS5645,MSbg,9,0.045
NRS5645,MSbg,10,0.019
NRS5645,MSbg,10,0.021
NRS5645,MSbg,10,0.022
NRS5645,MSbg,10,0.037
NRS5645,MSbg,10,0.045
NRS5645,MSbg,11,0.035
NRS5645,MSbg,11,0.022
NRS5645,MSbg,11,0.023
NRS5645,MSbg,11,0.036
NRS5645,MSbg,11,0.046
NRS5645,MSbg,12,0.034
NRS5645,MSbg,12,0.025
NRS5645,MSbg,12,0.028
NRS5645,MSbg,12,0.039
NRS5645,MSbg,12,0.051
NRS5645,MSbg,13,0.038
NRS5645,MSbg,13,0.024
NRS5645,MSbg,13,0.028
NRS5645,MSbg,13,0.038
NRS5645,MSbg,13,0.051
NRS5645,MSbg,14,0.039
NRS5645,MSbg,14,0.03
NRS5645,MSbg,14,0.028
NRS5645,MSbg,14,0.04
NRS5645,MSbg,14,0.05
NRS5645,MSbg,15,0.03
NRS5645,MSbg,15,0.02
NRS5645,MSbg,15,0.03
NRS5645,MSbg,15,0.02
NRS5645,MSbg,15,0.04
NRS5645,MSbg,16,0.03
NRS5645,MSbg,16,0.02
NRS5645,MSbg,16,0.02
NRS5645,MSbg,16,0.03
NRS5645,MSbg,16,0.03
NRS5645,MSbg,17,0.03
NRS5645,MSbg,17,0.02
NRS5645,MSbg,17,0.02
NRS5645,MSbg,17,0.04
NRS5645,MSbg,17,0.04
NRS5645,MSbg,18,0.03
NRS5645,MSbg,18,0.03
NRS5645,MSbg,18,0.03
NRS5645,MSbg,18,0.06
NRS5645,MSbg,18,0.06
NRS5645,MSbg,19,0.03
NRS5645,MSbg,19,0.02
NRS5645,MSbg,19,0.03
NRS5645,MSbg,19,0.03
NRS5645,MSbg,19,0.04
NRS5645,MSbg,20,0.03
NRS5645,MSbg,20,0.02
NRS5645,MSbg,20,0.03
NRS5645,MSbg,20,0.04
NRS5645,MSbg,20,0.03
NRS5645,MSbg,21,0.04
NRS5645,MSbg,21,0.02
NRS5645,MSbg,21,0.02
NRS5645,MSbg,21,0.03
NRS5645,MSbg,21,0.03
NRS5645,MSbg,22,0.03
NRS5645,MSbg,22,0.02
NRS5645,MSbg,22,0.02
NRS5645,MSbg,22,0.03
NRS5645,MSbg,22,0.04
NRS5645,MSbg,23,0.04
NRS5645,MSbg,23,0.02
NRS5645,MSbg,23,0.02
NRS5645,MSbg,23,0.03
NRS5645,MSbg,23,0.04
NRS5645,MSbg,24,0.03
NRS5645,MSbg,24,0.02
NRS5645,MSbg,24,0.02
NRS5645,MSbg,24,0.03
NRS5645,MSbg,24,0.04
