Strain,Medium,Time,OD600
NCIB3610,MSgg,1,0.025
NCIB3610,MSgg,2,0.028
NCIB3610,MSgg,3,0.116
NCIB3610,MSgg,4,0.35
NCIB3610,MSgg,5,0.92
NCIB3610,MSgg,6,1.74
NCIB3610,MSgg,7,2.25
NCIB3610,MSgg,8,2.56
NCIB3610,MSgg,9,2.92
NCIB3610,MSgg,10,2.98
NCIB3610,MSgg,1,0.015
NCIB3610,MSgg,1,0.018
NCIB3610,MSgg,1,0.019
NCIB3610,MSgg,2,0.034
NCIB3610,MSgg,2,0.045
NCIB3610,MSgg,2,0.043
NCIB3610,MSgg,3,0.108
NCIB3610,MSgg,3,0.14
NCIB3610,MSgg,3,0.134
NCIB3610,MSgg,4,0.207
NCIB3610,MSgg,4,0.315
NCIB3610,MSgg,4,0.292
NCIB3610,MSgg,5,0.93
NCIB3610,MSgg,5,1.11
NCIB3610,MSgg,5,0.99
NCIB3610,MSgg,6,1.45
NCIB3610,MSgg,6,1.77
NCIB3610,MSgg,6,1.61
NCIB3610,MSgg,7,2.49
NCIB3610,MSgg,7,2.69
NCIB3610,MSgg,7,2.67
NCIB3610,MSgg,8,3.5
NCIB3610,MSgg,8,3.07
NCIB3610,MSgg,8,3.46
NCIB3610,MSgg,9,3.48
NCIB3610,MSgg,9,3.44
NCIB3610,MSgg,9,3.66
NCIB3610,MSgg,10,3.4
NCIB3610,MSgg,10,3.31
NCIB3610,MSgg,10,3.92
NRS5645,MSgg,1,0.026
NRS5645,MSgg,1,0.018
NRS5645,MSgg,1,0.018
NRS5645,MSgg,2,0.042
NRS5645,MSgg,2,0.044
NRS5645,MSgg,2,0.043
NRS5645,MSgg,3,0.13
NRS5645,MSgg,3,0.13
NRS5645,MSgg,3,0.125
NRS5645,MSgg,4,0.284
NRS5645,MSgg,4,0.303
NRS5645,MSgg,4,0.295
NRS5645,MSgg,5,0.93
NRS5645,MSgg,5,1.02
NRS5645,MSgg,5,0.85
NRS5645,MSgg,6,1.67
NRS5645,MSgg,6,1.83
NRS5645,MSgg,6,1.78
NRS5645,MSgg,7,2.91
NRS5645,MSgg,7,2.64
NRS5645,MSgg,7,2.94
NRS5645,MSgg,8,3.81
NRS5645,MSgg,8,3.57
NRS5645,MSgg,8,3.39
NRS5645,MSgg,9,3.9
NRS5645,MSgg,9,3.43
NRS5645,MSgg,9,3.67
NRS5645,MSgg,10,3.45
NRS5645,MSgg,10,3.55
NRS5645,MSgg,10,3.59
NCIB3610,MSgg,1,0.011
NCIB3610,MSgg,1,0.014
NCIB3610,MSgg,1,0.013
NRS5645,MSgg,1,0.013
NRS5645,MSgg,1,0.015
NRS5645,MSgg,1,0.011
NCIB3610,MSgg,2,0.029
NCIB3610,MSgg,2,0.033
NCIB3610,MSgg,2,0.035
NRS5645,MSgg,2,0.025
NRS5645,MSgg,2,0.043
NRS5645,MSgg,2,0.037
NCIB3610,MSgg,10,3.03
NCIB3610,MSgg,10,2.62
NCIB3610,MSgg,10,2.92
NRS5645,MSgg,10,2.58
NRS5645,MSgg,10,2.71
NRS5645,MSgg,10,2.95
NCIB3610,MSgg,11,3.03
NCIB3610,MSgg,11,2.63
NCIB3610,MSgg,11,2.98
NRS5645,MSgg,11,2.93
NRS5645,MSgg,11,2.88
NRS5645,MSgg,11,3.22
NCIB3610,MSgg,12,3.28
NCIB3610,MSgg,12,3.17
NCIB3610,MSgg,12,2.98
NRS5645,MSgg,12,2.54
NRS5645,MSgg,12,3.44
NRS5645,MSgg,12,3.01
NCIB3610,MSgg,13,4.09
NCIB3610,MSgg,13,2.55
NCIB3610,MSgg,13,3.02
NRS5645,MSgg,13,2.48
NRS5645,MSgg,13,4.16
NRS5645,MSgg,13,3.25
NCIB3610,MSgg,14,2.91
NCIB3610,MSgg,14,3.1
NCIB3610,MSgg,14,2.52
NRS5645,MSgg,14,2.23
NRS5645,MSgg,14,4.24
NRS5645,MSgg,14,3.2
NCIB3610,MSgg,15,4.38
NCIB3610,MSgg,15,3.39
NCIB3610,MSgg,15,4.3
NRS5645,MSgg,15,3.09
NRS5645,MSgg,15,3.42
NRS5645,MSgg,15,4.04
NCIB3610,MSgg,16,3.8
NCIB3610,MSgg,16,4.11
