Media,Strain,Replicate,Timepoint,OD600
MSgg,NCIB3610,1,0,0.01
MSgg,NRS5645,1,0,0.01
MSg,NCIB3610,1,0,0.01
MSg,NRS5645,1,0,0.01
MSgb,NCIB3610,1,0,0.01
MSgb,NRS5645,1,0,0.01
MSbg,NCIB3610,1,0,0.01
MSbg,NRS5645,1,0,0.01
MSbb,NCIB3610,1,0,0.01
MSbb,NRS5645,1,0,0.01
MSgg,NCIB3610,1,12,1.82
MSgg,NCIB3610,2,12,1.56
MSgg,NCIB3610,3,12,1.65
MSgg,NCIB3610,1,24,1.62
MSgg,NCIB3610,2,24,1.76
MSgg,NCIB3610,3,24,1.96
MSgg,NCIB3610,1,48,0.94
MSgg,NCIB3610,2,48,1.02
MSgg,NCIB3610,3,48,1.03
MSgg,NCIB3610,1,72,0.6
MSgg,NCIB3610,2,72,0.63
MSgg,NCIB3610,3,72,0.58
MSgg,NCIB3610,1,96,0.78
MSgg,NCIB3610,2,96,0.62
MSgg,NCIB3610,3,96,0.68
MSgg,NRS5645,1,12,2.19
MSgg,NRS5645,2,12,2.42
MSgg,NRS5645,3,12,2.31
MSgg,NRS5645,1,24,2.34
MSgg,NRS5645,2,24,2.24
MSgg,NRS5645,3,24,2.59
MSgg,NRS5645,1,48,1.18
MSgg,NRS5645,2,48,1.06
MSgg,NRS5645,3,48,1.13
MSgg,NRS5645,1,72,0.88
MSgg,NRS5645,2,72,0.9
MSgg,NRS5645,3,72,0.81
MSgg,NRS5645,1,96,0.69
MSgg,NRS5645,2,96,0.76
MSgg,NRS5645,3,96,0.65
MSgb,NCIB3610,1,12,2.05
MSgb,NCIB3610,2,12,2.18
MSgb,NCIB3610,3,12,2.15
MSgb,NCIB3610,1,24,2.14
MSgb,NCIB3610,2,24,2.22
MSgb,NCIB3610,3,24,2.08
MSgb,NCIB3610,1,48,2.11
MSgb,NCIB3610,2,48,2.34
MSgb,NCIB3610,3,48,1.73
MSgb,NCIB3610,1,72,3.17
MSgb,NCIB3610,2,72,2.45
MSgb,NCIB3610,3,72,2.27
MSgb,NCIB3610,1,96,3.9
MSgb,NCIB3610,2,96,3.18
MSgb,NCIB3610,3,96,3.23
MSgb,NRS5645,1,12,1.81
MSgb,NRS5645,2,12,1.67
MSgb,NRS5645,3,12,1.39
MSgb,NRS5645,1,24,1.82
MSgb,NRS5645,2,24,1.51
MSgb,NRS5645,3,24,1.78
MSgb,NRS5645,1,48,1.57
MSgb,NRS5645,2,48,1.42
MSgb,NRS5645,3,48,1.48
MSgb,NRS5645,1,72,1.6
