Media,Strain,Replicate,Timepoint,OD600
MSbg,NCIB3610,1,96,3.1
MSbg,NCIB3610,2,96,3.02
MSbg,NCIB3610,3,96,3.5
MSbg,NRS5645,1,96,0.05
MSbg,NRS5645,2,96,0.03
MSbg,NRS5645,3,96,0.02
MSbg,NRS3657,1,96,2.26
MSbg,NRS3657,2,96,2.27
MSbg,NRS3657,3,96,2.28
MSbg,NRS6047,1,96,2.64
MSbg,NRS6047,2,96,2.77
MSbg,NRS6047,3,96,2.52
MSbg,NRS3658,1,96,2.69
MSbg,NRS3658,2,96,2.61
MSbg,NRS3658,3,96,2.28
MSbg,NRS3659,1,96,2.55
MSbg,NRS3659,2,96,2.33
MSbg,NRS3659,3,96,2.56
MSbg,NRS3660,1,96,2.94
MSbg,NRS3660,2,96,2.66
MSbg,NRS3660,3,96,2.8
MSbg,NRS3661,1,96,2.54
MSbg,NRS3661,2,96,2.56
MSbg,NRS3661,3,96,2.1
MSbg,NRS7010,1,96,2.59
MSbg,NRS7010,2,96,2.6
MSbg,NRS7010,3,96,2.56
MSbg,NRS6810,1,96,2.85
MSbg,NRS6810,2,96,2.23
MSbg,NRS6810,3,96,2.87
