Timepoint,Strain,Medium,Heat_Treatment,Dilution,Count
6,NCIB3610,MSbg,0,0.0001,22
6,NCIB3610,MSbg,1,0.0001,1
6,NCIB3610,MSbg,0,0.0001,48
6,NCIB3610,MSbg,1,0.0001,0
6,NCIB3610,MSbg,0,0.001,796
6,NCIB3610,MSbg,1,0.001,9
12,NCIB3610,MSbg,0,0.00001,79
12,NCIB3610,MSbg,1,0.00001,33
12,NCIB3610,MSbg,0,0.00001,70
12,NCIB3610,MSbg,1,0.00001,42
12,NCIB3610,MSbg,0,0.001,956
12,NCIB3610,MSbg,1,0.001,460
24,NCIB3610,MSbg,0,0.0001,460
24,NCIB3610,MSbg,1,0.0001,297
24,NCIB3610,MSbg,0,0.0001,544
24,NCIB3610,MSbg,1,0.0001,372
24,NCIB3610,MSbg,0,0.00001,80
24,NCIB3610,MSbg,1,0.00001,44
48,NCIB3610,MSbg,0,0.000001,205
48,NCIB3610,MSbg,1,0.000001,22
48,NCIB3610,MSbg,0,0.000001,243
48,NCIB3610,MSbg,1,0.000001,23
48,NCIB3610,MSbg,0,0.000001,260
48,NCIB3610,MSbg,1,0.000001,24
6,NRS5645,MSbg,0,0.0001,48
6,NRS5645,MSbg,1,0.0001,0
6,NRS5645,MSbg,0,0.0001,59
6,NRS5645,MSbg,1,0.0001,1
6,NRS5645,MSbg,0,0.0001,58
6,NRS5645,MSbg,1,0.0001,0
12,NRS5645,MSbg,0,0.0001,184
12,NRS5645,MSbg,1,0.0001,88
12,NRS5645,MSbg,0,0.0001,172
12,NRS5645,MSbg,1,0.0001,99
12,NRS5645,MSbg,0,0.001,364
12,NRS5645,MSbg,1,0.001,160
24,NRS5645,MSbg,0,0.00001,54
24,NRS5645,MSbg,1,0.00001,49
24,NRS5645,MSbg,0,0.00001,41
24,NRS5645,MSbg,1,0.00001,38
24,NRS5645,MSbg,0,0.00001,17
24,NRS5645,MSbg,1,0.00001,14
48,NRS5645,MSbg,0,0.001,400
48,NRS5645,MSbg,1,0.001,199
48,NRS5645,MSbg,0,0.001,336
48,NRS5645,MSbg,1,0.001,213
48,NRS5645,MSbg,0,0.001,372
48,NRS5645,MSbg,1,0.001,223
6,NCIB3610,MSgg,0,0.00001,606
6,NCIB3610,MSgg,1,0.00001,0
6,NCIB3610,MSgg,0,0.0001,1160
6,NCIB3610,MSgg,1,0.0001,0
6,NCIB3610,MSgg,0,0.0001,783
6,NCIB3610,MSgg,1,0.0001,5
12,NCIB3610,MSgg,0,0.000001,1236
12,NCIB3610,MSgg,1,0.000001,160
12,NCIB3610,MSgg,0,0.0000001,2456
12,NCIB3610,MSgg,1,0.0000001,6
12,NCIB3610,MSgg,0,0.0000001,1868
12,NCIB3610,MSgg,1,0.0000001,45
24,NCIB3610,MSgg,0,0.000001,616
24,NCIB3610,MSgg,1,0.000001,108
24,NCIB3610,MSgg,0,0.00001,1348
24,NCIB3610,MSgg,1,0.00001,1
24,NCIB3610,MSgg,0,0.000001,148
24,NCIB3610,MSgg,1,0.000001,12
48,NCIB3610,MSgg,0,0.00001,1244
48,NCIB3610,MSgg,1,0.00001,1196
48,NCIB3610,MSgg,0,0.000001,121
48,NCIB3610,MSgg,1,0.000001,109
48,NCIB3610,MSgg,0,0.000001,114
48,NCIB3610,MSgg,1,0.000001,95
6,NRS5645,MSgg,0,0.00001,619
6,NRS5645,MSgg,1,0.00001,0
6,NRS5645,MSbg,0,0.001,948
6,NRS5645,MSbg,1,0.001,2
6,NRS5645,MSbg,0,0.0001,48
6,NRS5645,MSbg,1,0.0001,1
12,NRS5645,MSgg,0,0.000001,1384
12,NRS5645,MSgg,1,0.000001,100
12,NRS5645,MSgg,0,0.0000001,2196
12,NRS5645,MSgg,1,0.0000001,0
12,NRS5645,MSgg,0,0.0000001,1546
12,NRS5645,MSgg,1,0.0000001,22
24,NRS5645,MSgg,0,0.000001,872
24,NRS5645,MSgg,1,0.000001,140
24,NRS5645,MSgg,0,0.00001,1503
24,NRS5645,MSgg,1,0.00001,9
24,NRS5645,MSgg,0,0.000001,125
24,NRS5645,MSgg,1,0.000001,5
48,NRS5645,MSgg,0,0.00001,1189
48,NRS5645,MSgg,1,0.00001,1003
48,NRS5645,MSgg,0,0.000001,119
48,NRS5645,MSgg,1,0.000001,100
48,NRS5645,MSgg,0,0.000001,128
48,NRS5645,MSgg,1,0.000001,111
6,NCIB3610,MSgb,0,0.00001,402
6,NCIB3610,MSgb,1,0.00001,0
6,NCIB3610,MSgb,0,0.00001,262
6,NCIB3610,MSgb,1,0.00001,0
6,NCIB3610,MSgb,0,0.00001,302
6,NCIB3610,MSgb,1,0.00001,0
6,NRS5645,MSgb,0,0.00001,199
6,NRS5645,MSgb,1,0.00001,0
6,NRS5645,MSgb,0,0.00001,232
6,NRS5645,MSgb,1,0.00001,0
6,NRS5645,MSgb,0,0.00001,300
6,NRS5645,MSgb,1,0.00001,0
6,NCIB3610,MSbb,0,0.01,900
6,NCIB3610,MSbb,1,0.01,4
6,NCIB3610,MSbb,0,0.01,1008
6,NCIB3610,MSbb,1,0.01,2
6,NCIB3610,MSbb,0,0.01,1148
6,NCIB3610,MSbb,1,0.01,0
6,NRS5645,MSbb,0,0.01,1168
6,NRS5645,MSbb,1,0.01,45
6,NRS5645,MSbb,0,0.01,1308
6,NRS5645,MSbb,1,0.01,34
6,NRS5645,MSbb,0,0.01,1276
6,NRS5645,MSbb,1,0.01,26
12,NCIB3610,MSgb,0,0.000001,99
12,NCIB3610,MSgb,1,0.000001,2
12,NCIB3610,MSgb,0,0.000001,107
12,NCIB3610,MSgb,1,0.000001,0
12,NCIB3610,MSgb,0,0.000001,119
12,NCIB3610,MSgb,1,0.000001,13
12,NRS5645,MSgb,0,0.000001,103
12,NRS5645,MSgb,1,0.000001,10
12,NRS5645,MSgb,0,0.000001,82
