Timepoint,Strain,Medium,Concentration,Replicate,Fluo_intensity,Yield_48h
48,NCIB3610,MSbg,0,1,4593,0.01
48,NCIB3610,MSbg,0,2,6457,0.01
48,NCIB3610,MSbg,0,3,5978,0.01
48,NCIB3610,MSbg,0.05,1,9078,0.11
48,NCIB3610,MSbg,0.05,2,8751,0.14
48,NCIB3610,MSbg,0.05,3,9621,0.12
48,NCIB3610,MSbg,0.1,1,9828,0.19
48,NCIB3610,MSbg,0.1,2,10265,0.2
48,NCIB3610,MSbg,0.1,3,8358,0.19
48,NCIB3610,MSbg,0.15,1,14631,0.24
48,NCIB3610,MSbg,0.15,2,14575,0.22
48,NCIB3610,MSbg,0.15,3,11004,0.27
48,NCIB3610,MSbg,0.2,1,17254,0.18
48,NCIB3610,MSbg,0.2,2,10101,0.19
48,NCIB3610,MSbg,0.2,3,11275,0.2
48,NCIB3610,MSbg,0.25,1,10066,0.22
48,NCIB3610,MSbg,0.25,2,12184,0.2
48,NCIB3610,MSbg,0.25,3,12168,0.23
48,NCIB3610,MSbg,0.5,1,17556,0.25
48,NCIB3610,MSbg,0.5,2,12467,0.24
48,NCIB3610,MSbg,0.5,3,11415,0.22
48,NCIB3610,MSbg,0.75,1,17466,0.37
48,NCIB3610,MSbg,0.75,2,21789,0.33
48,NCIB3610,MSbg,0.75,3,19122,0.4
48,NCIB3610,MSbg,1,1,29414,0.5
48,NCIB3610,MSbg,1,2,32010,0.56
48,NCIB3610,MSbg,1,3,25716,0.44
48,NCIB3610,MSbg,2,1,31631,1.1
48,NCIB3610,MSbg,2,2,69865,1.06
48,NCIB3610,MSbg,2,3,46212,1.08
