Timepoint,Strain,Medium,Concentration,Replicate,Fluo_intensity,Yield
24,NCIB3610,MSgg,0,1,35928,1.74
24,NCIB3610,MSgg,0.25,1,46300,
24,NCIB3610,MSgg,0.5,1,57737,
24,NCIB3610,MSgg,0.75,1,48306,
24,NCIB3610,MSgg,1,1,36169,
24,NCIB3610,MSgg,2,1,37875,
24,NCIB3610,MSgg,0,2,41609,1.83
24,NCIB3610,MSgg,0.25,2,52912,
24,NCIB3610,MSgg,0.5,2,50323,
24,NCIB3610,MSgg,0.75,2,36943,
24,NCIB3610,MSgg,1,2,38026,
24,NCIB3610,MSgg,2,2,37723,
24,NCIB3610,MSgg,0,3,57569,1.76
24,NCIB3610,MSgg,0.25,3,53592,
24,NCIB3610,MSgg,0.5,3,58436,
24,NCIB3610,MSgg,0.75,3,51066,
24,NCIB3610,MSgg,1,3,50153,
24,NCIB3610,MSgg,2,3,46511,
24,NRS5645,MSgg,0,1,4320,1.98
24,NRS5645,MSgg,0.25,1,5359,
24,NRS5645,MSgg,0.5,1,8954,
24,NRS5645,MSgg,0.75,1,3731,
24,NRS5645,MSgg,1,1,4450,
24,NRS5645,MSgg,2,1,2413,
24,NRS5645,MSgg,0,2,4431,1.61
24,NRS5645,MSgg,0.25,2,7250,
24,NRS5645,MSgg,0.5,2,9188,
24,NRS5645,MSgg,0.75,2,11358,
24,NRS5645,MSgg,1,2,3946,
24,NRS5645,MSgg,2,2,7691,
24,NRS5645,MSgg,0,3,4988,1.71
24,NRS5645,MSgg,0.25,3,2915,
24,NRS5645,MSgg,0.5,3,2521,
24,NRS5645,MSgg,0.75,3,6584,
24,NRS5645,MSgg,1,3,3040,
24,NRS5645,MSgg,2,3,2339,
