Day,pellicle,up,down,GFP_min,GFP_max,GFP_mean,GFP_median,mKate2_min,mKate2_max,mKate2_mean ,mKate2_median,Annotation,Replicate
9,NaN,WT-mKate2,WT-GFP,322,1166,1623.951,1623.951,501,4095,1513.02,1604,WT-mKate2/WT-GFP,1
9,NaN,WT-mKate2,WT-GFP,287,939,1202.896333,1202.896333,512,4095,1468.825,1493,WT-mKate2/WT-GFP,2
9,NaN,WT-mKate2,WT-GFP,245,801,1473.51,1473.51,317,4095,1411.768,1457,WT-mKate2/WT-GFP,3
9,NaN,D8-mKate2,D8-GFP,29,338,52.223,52.223,5,592,22.66,22,D8-mKate2/D8-GFP,1
9,NaN,D8-mKate2,D8-GFP,25,374,40.80566667,40.80566667,6,437,23.743,23,D8-mKate2/D8-GFP,2
9,NaN,D8-mKate2,D8-GFP,29,346,46.42966667,46.42966667,4,578,25.335,25,D8-mKate2/D8-GFP,3
9,NaN,D8-mKate2,WT-GFP,299,727,1337.649,1337.649,72,2690,519.064,503,D8-mKate2/WT-GFP,1
9,NaN,D8-mKate2,WT-GFP,313,678,1361.002,1361.002,94,4095,732.301,695,D8-mKate2/WT-GFP,2
9,NaN,D8-mKate2,WT-GFP,354,1032,1614.143,1614.143,104,4095,572.435,512,D8-mKate2/WT-GFP,3
9,NaN,WT-mKate2,WT-GFP,344,1244,1528.991667,1528.991667,782,4095,2387,2426,WT-mKate2/WT-GFP,4
9,NaN,WT-mKate2,WT-GFP,280,682,1297.305,1297.305,777,4095,2289.29,2410,WT-mKate2/WT-GFP,5
9,NaN,WT-mKate2,WT-GFP,278,698,1463.674,1463.674,951,4095,2179.324,2208,WT-mKate2/WT-GFP,6
9,NaN,D8-mKate2,D8-GFP,44,199,89.282,91,11,125,34.085,34,D8-mKate2/D8-GFP,4
9,NaN,D8-mKate2,D8-GFP,38,193,84.952,85,14,112,37.9,37,D8-mKate2/D8-GFP,5
9,NaN,D8-mKate2,D8-GFP,46,193,102.263,104,9,179,35.95,36,D8-mKate2/D8-GFP,6
