Day,pellicle,up,down,GFP_min,GFP_max,GFP_mean,GFP_median,mKate2_min,mKate2_max,mKate2_mean ,mKate2_median,Annotation,,Replicate
3,NaN,WT- mKate,WT-GFP,204,979,382.621,360,95,4095,1316.738,1296,WT-mKate2/WT-GFP,,1
3,NaN,WT- mKate,WT-GFP,171,1307,319.998,283,91,4095,1260.246,1241,WT-mKate2/WT-GFP,,2
3,NaN,WT- mKate,WT-GFP,137,1150,300.441,269,116,4095,1221.451,1212,WT-mKate2/WT-GFP,,3
3,NaN,WT-GFP,WT- mKate,94,4095,1435.33,1443,174,1086,275.696,244,WT-GFP/WT-mKate2,,1
3,NaN,WT-GFP,WT- mKate,80,4095,1405.422,1441,153,1107,284.578,256,WT-GFP/WT-mKate2,,2
3,NaN,WT-GFP,WT- mKate,98,4067,1420.116,1510,135,897,230.598,205,WT-GFP/WT-mKate2,,3
3,NaN,D8-mKate,D8-GFP,91,489,143.416,130,43,969,281.069,281,D8-mKate2/D8-GFP,,1
3,NaN,D8-mKate,D8-GFP,62,450,134.398,124,38,2245,430.402,411,D8-mKate2/D8-GFP,,2
3,NaN,D8-mKate,D8-GFP,79,422,130.941,121,38,1275,341.678,336,D8-mKate2/D8-GFP,,3
3,NaN,D8-GFP,D8-mKate,48,1881,507.481,509,91,363,141.048,133,D8-GFP/D8-mKate2,,1
3,NaN,D8-GFP,D8-mKate,45,1375,495.981,514,82,365,130.322,122,D8-GFP/D8-mKate2,,2
3,NaN,D8-GFP,D8-mKate,47,1335,488.451,509,75,336,124.606,118,D8-GFP/D8-mKate2,,3
3,NaN,D8-mKate,WT-GFP,199,1006,349.648,325,51,1500,355.745,346,D8-mKate2/WT-GFP,,1
3,NaN,D8-mKate,WT-GFP,240,937,376.391,354,52,2689,534.713,506,D8-mKate2/WT-GFP,,2
3,NaN,D8-mKate,WT-GFP,239,1160,394.832,377,47,3593,476.165,432,D8-mKate2/WT-GFP,,3
3,NaN,D8-GFP,WT- mKate,48,2355,623.284,659,118,1096,208.265,175,D8-GFP/WT-mKate2,,1
3,NaN,D8-GFP,WT- mKate,45,2472,670.146,675,143,1051,243.426,211,D8-GFP/WT-mKate2,,2
3,NaN,D8-GFP,WT- mKate,46,2265,633.147,665,151,969,253.332,220,D8-GFP/WT-mKate2,,3
3,NaN,WT- mKate,WT-GFP,195,784,312.697,290,99,3998,1342.925,1364,WT-mKate2/WT-GFP,,4
3,NaN,WT- mKate,WT-GFP,187,872,287.467,268,91,4095,1353.717,1362,WT-mKate2/WT-GFP,,5
3,NaN,WT- mKate,WT-GFP,177,1286,289.019,266,67,4066,1381.788,1399,WT-mKate2/WT-GFP,,6
3,NaN,D8-mKate,D8-GFP,148,1070,297.689,271,24,1962,226.726,224,D8-mKate2/D8-GFP,,4
3,NaN,D8-mKate,D8-GFP,248,1379,389.303,331,22,1248,205.379,201,D8-mKate2/D8-GFP,,5
3,NaN,D8-mKate,D8-GFP,256,909,388.432,359,21,534,143.531,137,D8-mKate2/D8-GFP,,6
3,NaN,D8-mKate,WT-GFP,44,558,220.98,234,42,386,71.166,68,D8-mKate2/WT-GFP,,4
3,NaN,D8-mKate,WT-GFP,47,988,251.694,262,38,124,62.012,61,D8-mKate2/WT-GFP,,5
3,NaN,D8-mKate,WT-GFP,55,743,252.386,272,30,144,60.097,59,D8-mKate2/WT-GFP,,6
3,NaN,WT-GFP,D8- mKate,529,4095,1511.471,1459,130,1434,223.297,181,WT-GFP/D8-mKate2,,1
3,NaN,WT-GFP,D8- mKate,500,3429,1035.289,991,96,783,161.351,140,WT-GFP/D8-mKate2,,2
3,NaN,WT-GFP,D8- mKate,528,4095,1296.854,1272,82,600,137.329,120,WT-GFP/D8-mKate2,,3
3,NaN,WT-GFP,D8- mKate,307,1559,611.915,595,67,261,106.938,100,WT-GFP/D8-mKate2,,4
3,NaN,WT-GFP,D8- mKate,211,1180,392.948,376,70,1052,124.467,103,WT-GFP/D8-mKate2,,5
3,NaN,WT-GFP,D8- mKate,160,1463,353.573,339,69,348,110.552,102,WT-GFP/D8-mKate2,,6
3,NaN,WT-mKate2,D8-GFP,106,369,144.91,140,294,1392,538.777,509,WT-mKate2/D8-GFP,,1
3,NaN,WT-mKate2,D8-GFP,163,699,312.642,304,168,1104,351.053,339,WT-mKate2/D8-GFP,,2
3,NaN,WT-mKate2,D8-GFP,92,405,135.371,130,319,1947,676.168,648,WT-mKate2/D8-GFP,,3
3,NaN,WT-mKate2,D8-GFP,100,369,142.499,139,236,1861,523.211,505,WT-mKate2/D8-GFP,,4
3,NaN,WT-mKate2,D8-GFP,140,578,195.193,186,248,2079,831.758,779,WT-mKate2/D8-GFP,,5
3,NaN,WT-mKate2,D8-GFP,153,609,210.484,198,741,4095,1701.641,1558,WT-mKate2/D8-GFP,,6
